610,EISENECKER,NULL,Julius,Men
611,FERENCZ,NULL,Karoly,Men
612,KEHRMANN,NULL,Florian,Men
613,FANG,NULL,Yuting,Women
614,WILEY,Olive,Mildred,Women
615,ZINDLER,NULL,Petra,Women
616,LEWIS-FRANCIS,NULL,Mark,Men
617,TRUSCA,NULL,Gabriela,Women
618,LEMUS,Carlos,GARCIA Juan,Men
619,JUNG,NULL,Jae-Eun,Women
620,HADJIIOANNIDIS,NULL,Georgios,Men
621,RUBINI,NULL,Cesare,Men
622,KERR,Ezekiel,George,Men
623,QIN,NULL,Yiyuan,Women
624,OLMOZ,Jesus,MORENO,Men
625,MULDER,NULL,Teun,Men
626,VOROBYEV,NULL,Arkadi,Men
627,KELLY,NULL,Daniel,Men
628,JANSSON,NULL,Harold,Men
629,FUJII,NULL,Raika,Women
630,KLIEME,NULL,Manfred,Men
631,DOMPERT,NULL,Alfred,Men
632,HOOKER,NULL,Janusz,Men
633,PARK,NULL,Miyoung,Women
634,HULLDEN,NULL,Jarl,Men
635,RUIZ,NULL,Yumilka,Women
636,WALLACE,NULL,Ji,Men
637,GUNN,Kenneth,Richard,Men
638,MCKEE,Timothy,Alexander,Men
639,PARK,NULL,Jeong-Lim,Women
640,SZEPESI,NULL,Gusztav,Men
641,CONTRI,NULL,Gianfranco,Men
642,INGIMUNDARSON,NULL,Ingimundur,Men
643,SHIRLEY,Ada,Dorothy,Women
644,INZHUVATOVA,NULL,Galina,Women
645,KROOK,NULL,Stefan,Men
646,MARCONATO,NULL,Denis,Men
647,VANCE,Goodwin,Samuel,Men
648,THIRY,NULL,Jules,Men
649,JAUGSTETTER,C.,Robert,Men
650,OTTOZ,NULL,Eddy,Men
651,XU,NULL,Yan,Women
652,FLYNN,L.,Edward,Men
653,STEPANEK,NULL,Ondrej,Men
654,LUO,NULL,Jianming,Men
655,POLYANSKI,NULL,Igor,Men
656,BERNARD,Samuel,Philip William,Men
657,STALMAN,G.,Ria,Women
658,CONTI,NULL,Francesca,Women
659,TAUZIN,NULL,Henri,Men
660,FUKUDOME,NULL,Kosuke,Men
661,ZHU,NULL,Qinan,Men
662,HARTING,NULL,Robert,Men
663,THOMPSON,Henry,William,Men
664,NIELSEN,Jacob,Hans,Men
665,SIMONCELLI,NULL,Stefano,Men
666,DELFINO,NULL,Giuseppe,Men
