Moscow 1980,LIB,NULL,NULL
Atlanta 1996,ISR,NULL,NULL
Los Angeles 1984,NZL,NULL,NULL
Beijing 2008,ALG,NULL,NULL
Beijing 2008,ESP,NULL,NULL
London 2012,COL,NULL,NULL
Seoul 1988,TUR,NULL,NULL
Barcelona 1992,ITA,NULL,NULL
Sydney 2000,CAN,NULL,NULL
Melbourne / Stockholm 1956,SWE,NULL,NULL
Antwerp 1920,CAN,NULL,NULL
Helsinki 1952,IRI,NULL,NULL
Los Angeles 1984,CIV,NULL,NULL
Rome 1960,BEL,NULL,NULL
Mexico 1968,JPN,NULL,NULL
Sydney 2000,MDA,NULL,NULL
Athens 2004,TUR,NULL,NULL
Melbourne / Stockholm 1956,BAH,NULL,NULL
Munich 1972,FRG,NULL,NULL
Melbourne / Stockholm 1956,SUI,NULL,NULL
Athens 2004,NOR,NULL,NULL
Sydney 2000,RSA,NULL,NULL
Seoul 1988,SEN,NULL,NULL
Antwerp 1920,RSA,NULL,NULL
Seoul 1988,FIN,NULL,NULL
Athens 2004,ISR,NULL,NULL
Mexico 1968,NZL,NULL,NULL
Beijing 2008,KOR,NULL,NULL
Seoul 1988,KOR,NULL,NULL
Barcelona 1992,AUS,NULL,NULL
Athens 2004,CAN,NULL,NULL
Athens 2004,UAE,NULL,NULL
Atlanta 1996,BAH,NULL,NULL
Beijing 2008,ETH,NULL,NULL
Munich 1972,NOR,NULL,NULL
Sydney 2000,BAH,NULL,NULL
Athens 2004,FRA,NULL,NULL
London 2012,NOR,NULL,NULL
Moscow 1980,MGL,NULL,NULL
Sydney 2000,LTU,NULL,NULL
Athens 2004,EGY,NULL,NULL
London 2012,HKG,NULL,NULL
Sydney 2000,ITA,NULL,NULL
London 2012,SWE,NULL,NULL
Munich 1972,DEN,NULL,NULL
London 2012,AUS,NULL,NULL
London 1948,DEN,NULL,NULL
Atlanta 1996,TUN,NULL,NULL
Moscow 1980,FIN,NULL,NULL
Athens 2004,BRA,NULL,NULL
Helsinki 1952,URU,NULL,NULL
Paris 1900,NED,NULL,NULL
Stockholm 1912,FIN,NULL,NULL
Athens 1896,AUT,NULL,NULL
Helsinki 1952,RSA,NULL,NULL
Berlin 1936,EGY,NULL,NULL
Mexico 1968,SUI,NULL,NULL
Munich 1972,NED,NULL,NULL
Seoul 1988,USA,NULL,NULL
Athens 2004,ITA,NULL,NULL
Athens 2004,LTU,NULL,NULL
London 2012,NED,NULL,NULL
Atlanta 1996,CRC,NULL,NULL
Beijing 2008,CZE,NULL,NULL
Montreal 1976,NZL,NULL,NULL
Beijing 2008,UKR,NULL,NULL
London 1948,HUN,NULL,NULL
Amsterdam 1928,YUG,NULL,NULL
Atlanta 1996,POR,NULL,NULL
Melbourne / Stockholm 1956,IRL,NULL,NULL
Tokyo 1964,USA,NULL,NULL
Munich 1972,BUL,NULL,NULL
Beijing 2008,DOM,NULL,NULL
London 2012,BRN,NULL,NULL
London 1948,POL,NULL,NULL
Helsinki 1952,LIB,NULL,NULL
Mexico 1968,UGA,NULL,NULL
Melbourne / Stockholm 1956,DEN,NULL,NULL
Atlanta 1996,GER,NULL,NULL
Atlanta 1996,MAR,NULL,NULL
Sydney 2000,HUN,NULL,NULL
Paris 1924,SWE,NULL,NULL
Athens 2004,JPN,NULL,NULL
Barcelona 1992,ARG,NULL,NULL
Beijing 2008,MRI,NULL,NULL
Stockholm 1912,USA,NULL,NULL
Atlanta 1996,FIN,NULL,NULL
Barcelona 1992,TCH,NULL,NULL
London 2012,QAT,NULL,NULL
Tokyo 1964,DEN,NULL,NULL
Los Angeles 1984,CMR,NULL,NULL
Barcelona 1992,BUL,NULL,NULL
London 1948,CUB,NULL,NULL
Mexico 1968,KEN,NULL,NULL
Beijing 2008,TRI,NULL,NULL
Amsterdam 1928,NOR,NULL,NULL
Los Angeles 1932,RSA,NULL,NULL
Los Angeles 1984,ROU,NULL,NULL
Los Angeles 1984,YUG,NULL,NULL
Barcelona 1992,KOR,NULL,NULL
Athens 2004,HUN,NULL,NULL
Beijing 2008,TPE,NULL,NULL
Paris 1924,CAN,NULL,NULL
