2425,Beijing 2008,USA
17728,Rome 1960,NED
17997,Beijing 2008,GER
16594,Montreal 1976,FRA
726,Beijing 2008,USA
14469,London 2012,RUS
21285,Melbourne / Stockholm 1956,USA
9917,Montreal 1976,URS
14652,London 1908,GER
21665,Los Angeles 1984,USA
16794,Paris 1900,ITA
2284,Antwerp 1920,DEN
3426,Melbourne / Stockholm 1956,USA
1946,Tokyo 1964,URS
4955,Paris 1924,GBR
8991,London 1908,FRA
21041,Stockholm 1912,FIN
9622,Melbourne / Stockholm 1956,KOR
20427,London 2012,MEX
5630,Barcelona 1992,CHN
4857,Athens 2004,USA
13211,Seoul 1988,USA
8223,London 2012,KOR
16340,Seoul 1988,URS
159,Beijing 2008,FRA
4396,Tokyo 1964,USA
16295,Tokyo 1964,ITA
3018,Moscow 1980,URS
11640,Munich 1972,NZL
13492,Athens 2004,RUS
19910,Antwerp 1920,DEN
1292,Helsinki 1952,USA
3129,Montreal 1976,USA
21284,Los Angeles 1984,CHN
12392,Beijing 2008,CHN
4045,Helsinki 1952,IND
17739,Helsinki 1952,HUN
2054,Paris 1924,HUN
10144,Barcelona 1992,KOR
13102,Sydney 2000,SUI
3115,Paris 1924,ROU
10139,Tokyo 1964,TUR
1432,Mexico 1968,NOR
15264,Athens 2004,UKR
6939,Antwerp 1920,AUS
4635,Sydney 2000,UKR
22698,Montreal 1976,USA
5849,London 2012,DOM
4249,Amsterdam 1928,USA
3345,Atlanta 1996,ARG
2095,Athens 2004,ARG
8485,Athens 2004,NOR
14956,Montreal 1976,ROU
14778,Seoul 1988,ROU
18282,London 2012,GBR
22335,Helsinki 1952,USA
2651,Sydney 2000,NED
22334,Berlin 1936,TCH
4910,Moscow 1980,URS
2428,Amsterdam 1928,USA
5463,Athens 2004,GRE
10507,Montreal 1976,BUL
14997,Berlin 1936,GBR
14562,Tokyo 1964,ITA
19003,Sydney 2000,USA
18153,Montreal 1976,GDR
19896,Mexico 1968,URS
10040,Munich 1972,GDR
3905,Barcelona 1992,JAM
20115,Beijing 2008,ESP
6208,London 1908,RU1
5072,Antwerp 1920,SWE
12145,Atlanta 1996,HUN
964,London 1908,GBR
21696,London 1908,USA
5962,London 2012,GER
14876,Sydney 2000,GER
21379,Rome 1960,YUG
5082,Los Angeles 1984,ITA
18237,Tokyo 1964,ROU
19296,London 2012,FRA
18943,London 1948,SWE
8345,Melbourne / Stockholm 1956,AUS
5553,Los Angeles 1984,CHN
8139,London 1908,GBR
20442,Sydney 2000,AUS
10847,London 2012,RUS
16554,Munich 1972,IND
9991,Montreal 1976,URS
3983,Los Angeles 1984,USA
8451,St Louis 1904,USA
17621,Mexico 1968,MEX
5561,Athens 2004,ITA
7018,Los Angeles 1984,SUI
17278,Sydney 2000,JPN
13256,Los Angeles 1984,YUG
3154,London 1908,SWE
5314,Athens 2004,PAR
14878,Athens 2004,CHN
15412,Rome 1960,HUN
14203,Seoul 1988,GDR
21009,Los Angeles 1984,ITA
9188,Athens 2004,CHN
18469,London 2012,USA
1652,Mexico 1968,JPN
6225,Melbourne / Stockholm 1956,IRI
3515,Atlanta 1996,AUS
22027,Los Angeles 1932,ITA
17682,Beijing 2008,BEL
9927,Beijing 2008,DEN
778,Athens 2004,GER
16648,London 2012,USA
20144,Seoul 1988,URS
1678,Atlanta 1996,ITA
15319,Sydney 2000,USA
3120,Rome 1960,URS
3820,Rome 1960,FIN
20346,Antwerp 1920,GBR
17057,Barcelona 1992,LAT
3049,Beijing 2008,BRA
12061,Amsterdam 1928,USA
21775,London 2012,USA
12520,Atlanta 1996,CZE
11475,Antwerp 1920,NOR
126,Montreal 1976,CUB
13129,Beijing 2008,GER
22137,Helsinki 1952,FIN
6948,Seoul 1988,KOR
16879,Munich 1972,URS
17209,Antwerp 1920,BEL
2602,Moscow 1980,BEL
16338,Antwerp 1920,GBR
4678,Melbourne / Stockholm 1956,AUS
17760,Paris 1924,CAN
5481,Moscow 1980,BRA
10961,Atlanta 1996,HUN
2048,London 2012,GBR
1376,Mexico 1968,BRA
6028,Helsinki 1952,IND
8309,Barcelona 1992,USA
2910,Beijing 2008,BRA
11007,Moscow 1980,HUN
15544,Beijing 2008,NED
7666,Beijing 2008,RUS
20260,Paris 1924,FRA
1055,London 1908,GBR
19800,Atlanta 1996,BRA
11561,Athens 2004,GER
